date,tmin,tmax,prcp,snow,snwd,awnd
7/13/20,68,92,0.08,0,0,4.47
3/27/19,30,57,0,0,0,6.93
7/22/20,73,96,0,0,0,8.95
3/28/19,32,66,0,0,0,3.58
7/30/20,72,89,0,0,0,7.16
4/3/19,31,69,0,0,0,4.7
8/6/20,72,87,0.06,0,0,2.91
4/8/19,57,81,1.98,0,0,8.5
1/1/17,41,50,0.54,0,0,6.49
8/7/20,72,89,0.01,0,0,4.7
4/9/19,61,74,0.04,0,0,5.82
1/8/17,15,27,0,0,1.2,4.92
8/8/20,71,90,0,0,0,3.8
4/11/19,47,79,0,0,0,6.49
1/16/17,44,51,0,0,0,4.47
8/12/20,72,91,0,0,0,4.7
4/12/19,59,69,0.65,0,0,9.17
1/23/17,43,60,0.28,0,0,9.84
8/14/20,72,89,0.63,0,0,3.58
4/22/19,43,73,0,0,0,1.79
2/7/17,49,76,0,0,0,12.53
8/16/20,67,79,0.02,0,0,4.25
4/23/19,46,81,0,0,0,7.38
2/8/17,54,74,0.09,0,0,5.82
8/17/20,64,86,0.11,0,0,2.46
4/30/19,60,86,0,0,0,8.5
2/21/17,44,66,0,0,0,5.82
8/20/20,68,85,0,0,0,5.37
5/3/19,63,84,0,0,0,8.28
2/24/17,47,80,0,0,0,3.58
8/24/20,74,86,0,0,0,7.38
5/8/19,62,83,0,0,0,7.38
2/25/17,52,81,0,0,0,13.2
8/26/20,71,89,0,0,0,3.58
5/10/19,66,78,0,0,0,8.28
2/26/17,37,56,0,0,0,4.47
9/5/20,61,81,0,0,0,6.26
5/11/19,64,81,0.18,0,0,5.37
3/2/17,39,62,0,0,0,8.05
9/8/20,62,84,0.03,0,0,5.59
5/14/19,47,67,0,0,0,4.92
3/3/17,31,54,0,0,0,6.71
9/10/20,74,88,0,0,0,3.13
5/16/19,51,79,0,0,0,4.03
3/8/17,46,69,0.05,0,0,8.5
9/15/20,59,75,0,0,0,8.72
5/21/19,63,85,0,0,0,5.82
3/20/17,30,66,0,0,0,3.58
9/29/20,59,85,0.68,0,0,7.61
6/12/19,59,74,0.35,0,0,6.71
4/3/17,50,76,0.4,0,0,9.17
10/4/20,48,68,0,0,0,3.8
6/14/19,53,79,0,0,0,4.03
4/5/17,53,78,0.32,0,0,6.71
10/8/20,58,83,0,0,0,2.46
6/28/19,70,97,1.09,0,0,3.8
4/6/17,50,70,0.09,0,0,15.21
10/9/20,56,72,0,0,0,5.14
6/30/19,69,94,0,0,0,5.14
4/7/17,43,59,0,0,0,11.86
10/17/20,46,64,0,0,0,4.92
7/3/19,70,97,0,0,0,4.03
4/9/17,38,77,0,0,0,4.47
10/28/20,57,72,0.05,0,0,4.03
7/7/19,75,93,0.21,0,0,6.04
4/11/17,55,82,0,0,0,10.51
10/31/20,44,60,0,0,0,5.82
7/11/19,75,93,0,0,0,9.17
4/18/17,61,74,0.03,0,0,9.62
11/4/20,37,70,0,0,0,1.34
7/14/19,72,96,0,0,0,3.36
4/25/17,58,70,2.17,0,0,6.93
11/23/20,40,63,0.01,0,0,4.92
